Dato,Tid,Globalstraling,Solskinstid,Lufttemperatur,"Relativ luftfuktighet",Vindretning,Vindstyrke,Lufttrykk,Vindkast
2020-01-01,00:00,-0,0,6.5,9999.99,137,4,1018.2,6.9
2020-01-01,00:10,0,0,6.6,9999.99,142,4.3,1018,7.8
2020-01-01,00:20,-0,0,6.6,9999.99,143,5.5,1018,9.6
2020-01-01,00:30,0,0,6.8,9999.99,151,4.9,1017.9,8.1
2020-01-01,00:40,-0.2,0,6.5,9999.99,136,4.8,1017.7,7.2
2020-01-01,00:50,-0.1,0,6.6,9999.99,138,4.6,1017.7,7.8
2020-01-01,01:00,-0.3,0,6.5,9999.99,148,5.3,1017.2,10.2
2020-01-01,01:10,-0.5,0,6.6,9999.99,142,5,1017.4,9
2020-01-01,01:20,-0.4,0,6.6,9999.99,135,4.3,1017.2,8.1
2020-01-01,01:30,-0.6,0,6.5,9999.99,142,4.6,1017.2,8.1
2020-01-01,01:40,-0.6,0,6.4,9999.99,147,4.7,1017,9
2020-01-01,01:50,-0.6,0,6.5,9999.99,148,5.7,1016.9,9.9
2020-01-01,02:00,-0.7,0,6.7,9999.99,148,5.6,1016.7,9
2020-01-01,02:10,-0.7,0,6.7,99,147,5.5,1016.5,9.6
2020-01-01,02:20,-0.6,0,6.7,98,140,4.9,1016.5,9.6
2020-01-01,02:30,-0.7,0,6.5,99,135,4.3,1016.5,7.8
2020-01-01,02:40,-0.6,0,6.7,100,133,4.4,1016.2,6.6
2020-01-01,02:50,-0.6,0,6.6,100,136,4,1016.2,6
2020-01-01,03:00,-0.4,0,6.6,99,134,3.7,1016,5.7
2020-01-01,03:10,-0.4,0,6.6,99,136,4,1016,6.3
2020-01-01,03:20,-0.4,0,6.5,99,141,2.5,1016,3.9
2020-01-01,03:30,-0.4,0,6.5,100,155,3.3,1015.9,5.4
2020-01-01,03:40,-0.5,0,6.4,100,154,3.2,1015.7,5.1
2020-01-01,03:50,-0.4,0,6.5,98,159,3.4,1015.5,5.7
2020-01-01,04:00,-0.3,0,6.5,96,162,4.1,1015.5,7.8
2020-01-01,04:10,-0.2,0,6.5,95,169,4,1015.4,5.7
2020-01-01,04:20,-0.1,0,6.4,96,167,4,1015.2,6
2020-01-01,04:30,-0.3,0,6.4,97,154,3.8,1015.2,5.4
2020-01-01,04:40,-0.2,0,6.4,98,152,3.1,1015,4.5
2020-01-01,04:50,-0.2,0,6.5,97,157,3.7,1015,6.3
2020-01-01,05:00,-0.2,0,6.4,97,168,3.7,1014.8,5.7
2020-01-01,05:10,-0.2,0,6.4,97,168,4.1,1014.7,7.2
2020-01-01,05:20,-0.3,0,6.4,96,158,4.3,1014.7,6.9
2020-01-01,05:30,-0.2,0,6.4,96,158,4.1,1014.8,6
2020-01-01,05:40,-0.3,0,6.4,96,162,4,1014.8,6
2020-01-01,05:50,-0.2,0,6.4,95,159,4.2,1014.8,6.6
2020-01-01,06:00,-0.3,0,6.4,96,160,4.5,1014.5,7.2
2020-01-01,06:10,-0.4,0,6.4,96,161,5.5,1014.3,8.4
2020-01-01,06:20,-0.4,0,6.4,96,159,4.4,1014.5,7.2
2020-01-01,06:30,-0.4,0,6.5,96,161,4.6,1014.3,8.1
2020-01-01,06:40,-0.4,0,6.4,96,163,5.6,1014.5,9.6
2020-01-01,06:50,-0.4,0,6.4,96,163,5.3,1014.3,7.8
2020-01-01,07:00,-0.5,0,6.4,96,158,4,1014.2,7.2
2020-01-01,07:10,-0.5,0,6.5,95,160,6.3,1014.2,10.4
2020-01-01,07:20,-0.4,0,6.4,95,163,4.8,1014.3,7.8
2020-01-01,07:30,-0.4,0,6.4,95,161,4.7,1014.3,7.8
2020-01-01,07:40,-0.5,0,6.4,94,155,4.7,1014.3,8.1
2020-01-01,07:50,-0.5,0,6.4,94,156,4,1014.5,6.9
2020-01-01,08:00,-0.4,0,6.4,94,151,3.4,1014.3,6.6
2020-01-01,08:10,-0.4,0,6.4,94,163,4.7,1014.3,9.3
2020-01-01,08:20,-0.3,0,6.4,94,161,4.5,1014.5,8.1
2020-01-01,08:30,-0.1,0,6.5,95,162,4.3,1014.3,6.9
2020-01-01,08:40,0.2,0,6.5,94,150,4.5,1014.2,7.5
2020-01-01,08:50,0.8,0,6.5,94,156,3.5,1014.2,7.2
2020-01-01,09:00,2,0,6.5,94,167,3.4,1014.2,5.7
2020-01-01,09:10,4.5,0,6.5,94,165,3.8,1014.2,6.3
2020-01-01,09:20,6.7,0,6.5,94,169,4.3,1014,6
2020-01-01,09:30,9.3,0,6.6,94,166,4,1014,6.9
2020-01-01,09:40,8.1,0,6.6,94,164,4.5,1013.8,6.3
2020-01-01,09:50,10.2,0,6.7,94,161,4.9,1013.8,7.8
2020-01-01,10:00,11,0,6.7,94,161,5.1,1013.8,8.4
2020-01-01,10:10,11.5,0,6.7,93,164,4.9,1014,7.8
2020-01-01,10:20,14,0,6.7,94,160,4.2,1013.7,6.9
2020-01-01,10:30,15.7,0,6.7,93,162,5.1,1013.3,8.7
2020-01-01,10:40,19,0,6.8,93,161,5.4,1013,8.7
2020-01-01,10:50,15.9,0,6.8,93,171,6.8,1012.8,10.7
2020-01-01,11:00,19.2,0,6.8,93,168,6.8,1012.5,10.7
2020-01-01,11:10,30.4,0,6.8,93,168,7.2,1012.3,10.2
2020-01-01,11:20,35.9,0,6.9,94,170,8.4,1012.2,13.4
2020-01-01,11:30,34.6,0,6.9,93,170,9.3,1011.8,14
2020-01-01,11:40,28.3,0,6.9,94,174,7.1,1012.3,11
2020-01-01,11:50,17.6,0,6.9,93,174,6.7,1012.7,11.3
2020-01-01,12:00,7.5,0,6.9,93,172,7.5,1012.8,11
2020-01-01,12:10,8,0,6.9,94,166,5.4,1012.8,9.3
2020-01-01,12:20,6.7,0,6.8,95,168,6.4,1012.8,10.2
2020-01-01,12:30,11.2,0,6.7,96,164,7.2,1012.7,11.9
2020-01-01,12:40,13.4,0,6.4,100,163,6.1,1012.7,10.4
2020-01-01,12:50,12.8,0,6.5,9999.99,169,5.4,1012.7,8.7
2020-01-01,13:00,8.7,0,6.6,9999.99,161,5.4,1012.5,9.6
2020-01-01,13:10,9.2,0,6.5,9999.99,163,6,1012.5,8.4
2020-01-01,13:20,8.3,0,6.5,9999.99,160,5.7,1012,8.4
2020-01-01,13:30,6,0,6.4,9999.99,160,4.5,1012,6.6
2020-01-01,13:40,5.4,0,6.3,9999.99,157,5.2,1011.6,8.4
2020-01-01,13:50,3.5,0,6.3,9999.99,157,4.8,1011.6,8.1
2020-01-01,14:00,2.1,0,6.3,9999.99,168,5.4,1011.3,8.7
2020-01-01,14:10,2,0,6.4,9999.99,170,4.7,1011.5,8.4
2020-01-01,14:20,0.9,0,6.4,9999.99,170,4.9,1011.3,7.5
2020-01-01,14:30,1,0,6.5,9999.99,166,4.4,1011.5,7.2
2020-01-01,14:40,0.4,0,6.5,9999.99,165,4.5,1011.3,8.4
2020-01-01,14:50,-0.2,0,6.5,9999.99,168,5.7,1011.5,9
2020-01-01,15:00,-0.5,0,6.5,9999.99,165,5.2,1011.1,8.4
2020-01-01,15:10,-0.7,0,6.4,9999.99,159,4.9,1010.8,6.9
2020-01-01,15:20,-0.6,0,6.3,9999.99,158,4,1010.8,7.8
2020-01-01,15:30,-0.5,0,6.2,9999.99,161,3.8,1010.5,6.3
2020-01-01,15:40,-0.6,0,6.3,9999.99,162,4,1010.5,7.8
2020-01-01,15:50,-0.5,0,6.3,9999.99,167,4.9,1010.3,9
2020-01-01,16:00,-0.4,0,6.3,9999.99,163,6.1,1010.3,11.3
2020-01-01,16:10,-0.3,0,6.3,9999.99,165,5.2,1010.5,8.7
2020-01-01,16:20,-0.3,0,6.3,9999.99,163,5.3,1010.5,9.6
2020-01-01,16:30,-0.3,0,6.3,9999.99,163,5.7,1010.5,10.2
2020-01-01,16:40,-0.3,0,6.2,9999.99,171,5.2,1010.5,8.7
2020-01-01,16:50,-0.2,0,6.2,9999.99,170,6,1010.1,9
2020-01-01,17:00,-0.3,0,6.2,9999.99,160,5.2,1010,8.7
2020-01-01,17:10,-0.2,0,6.3,9999.99,168,5.7,1010,9.3
2020-01-01,17:20,-0.3,0,6.3,9999.99,169,4.9,1010,9
2020-01-01,17:30,-0.2,0,6.4,9999.99,171,4.3,1010,7.2
2020-01-01,17:40,-0.3,0,6.4,9999.99,163,4.2,1010,7.5
