;2009;2013;2017;2017 i prosent;
Godkjente stemmer;Godkjente stemmer;Godkjente stemmer;Godkjente stemmer;
Godkjente stemmer totalt;2682904;2836029;2926836;100,0;
Arbeiderpartiet;949049;874769;800947;27,4;
Fremskrittspartiet;614717;463560;444681;15,2;
Høyre;462458;760232;732895;25,0;
Kristelig Folkeparti;148748;158475;122797;4,2;
Senterpartiet;165006;155357;302017;10,3;
Sosialistisk Venstreparti;166361;116021;176222;6,0;
Venstre;104144;148275;127910;4,4;
Miljøpartiet de Grønne;9286;79152;94788;3,2;
Rødt;36219;30751;70522;2,4;
Norges Kommunistiske Parti;697;611;309;0,0;
Pensjonistpartiet;11900;11865;12855;0,4;
Alliansen;0;0;3311;0,1;
Feministisk Initiativ;0;0;696;0,0;
Helsepartiet;0;0;10337;0,4;
Liberalistene;0;0;5599;0,2;
Nordmørslista;0;0;2135;0,1;
Nordting;0;0;59;0,0;
Norgespartiet;0;0;151;0,0;
Verdipartiet;0;0;148;0,0;
Samfunnspartiet;140;295;104;0,0;
Kystpartiet;5341;3311;2467;0,1;
Demokratene i Norge;0;2214;3830;0,1;
Partiet De Kristne;0;17731;8700;0,3;
Piratpartiet;0;9869;3356;0,1;
